Brand,IG,Website,Other Socials,Active Ads,Notes,Source
Elisa Johnson,@elisajohnson.co,https://elisajohnson.co/,,Unknown,Luxury eyewear brand,https://elisajohnson.co/;https://www.instagram.com/elisajohnson.co/;https://fashionista.com/2025/11/elisa-johnson-eyewear-brand
Crap Eyewear,@crapeyewear,https://www.crapeyewear.com/,,Unknown,LA-based sunglasses/eyewear,https://www.crapeyewear.com/;https://www.instagram.com/crapeyewear/
RAEN,@raen,https://raen.com/,,Unknown,RAEN Optics eyewear,https://raen.com/;https://www.instagram.com/raen/
KREWE,@krewe,https://www.krewe.com/,https://www.facebook.com/KREWE/,Unknown,New Orleans luxury eyewear,https://www.krewe.com/;https://www.instagram.com/krewe/;https://www.facebook.com/KREWE/
AKILA,@akila.la,https://akila.la/,,Unknown,Independent eyewear brand based in Los Angeles,https://akila.la/;https://www.instagram.com/akila.la/
Valley Eyewear,@valleyeyewear,https://valleyeyewear.com/,https://www.facebook.com/valleyeyewear/,Unknown,Luxury eyewear designed in Australia,https://valleyeyewear.com/;https://www.instagram.com/valleyeyewear/;https://www.facebook.com/valleyeyewear/
KALEOS,@kaleoscollection,https://kaleoscollection.com/,,Unknown,Barcelona-designed fashion eyewear brand,https://kaleoscollection.com/;https://www.instagram.com/kaleoscollection/
Pala Eyewear,@palaeyewear,https://palaeyewear.com/,https://www.facebook.com/palaeyewear/,Unknown,Ethical/sustainable eyewear brand funding eyecare in Africa,https://palaeyewear.com/;https://www.instagram.com/palaeyewear/;https://www.facebook.com/palaeyewear/
Sun Buddies,@sunbuddies,https://sunbuddieseyewear.com/,,Unknown,Swedish premium unisex eyewear line,https://sunbuddieseyewear.com/;https://www.instagram.com/sunbuddies/
GAST,@gast,https://www.gast-shop.com/,https://www.facebook.com/gasteyewear/,Unknown,Independent eyewear label based in Milan,https://www.gast-shop.com/;https://www.instagram.com/gast/;https://www.facebook.com/gasteyewear/
VEHLA,@vehla,https://vehla.com/,,Unknown,Eyewear & apparel brand (sunglasses focus),https://vehla.com/;https://www.instagram.com/vehla/
Meller,@meller,https://mellerbrand.com/,,Unknown,Barcelona-born sunglasses/eyewear brand,https://mellerbrand.com/;https://www.instagram.com/meller/
Sunday Somewhere,@sundaysomewhere,https://sundaysomewhere.com/,https://www.facebook.com/sundaysomewhere/,Unknown,Designer eyewear inspired by 70s aesthetics,https://sundaysomewhere.com/;https://www.instagram.com/sundaysomewhere/;https://www.facebook.com/sundaysomewhere/
Garrett Leight,@garrettleight,https://www.garrettleight.com/,,Unknown,California lifestyle premium eyewear,https://www.garrettleight.com/;https://www.instagram.com/garrettleight/
FORA,@fora_sunglasses,https://fora.pt/,https://www.facebook.com/FORAsunglasses/,Unknown,Lisbon independent eyewear brand,https://fora.pt/;https://www.instagram.com/fora_sunglasses/;https://www.facebook.com/FORAsunglasses/
Ffin Eyewear,@ffineyewear,https://ffineyewear.com/,https://www.facebook.com/ffineyewear,Unknown,Independent eyewear designed in Wales,https://ffineyewear.com/;https://www.instagram.com/ffineyewear/;https://www.facebook.com/ffineyewear
Akoni,@akonieyewear,https://akoni.com/,,Unknown,Designer eyewear made in Japan,https://akoni.com/;https://www.instagram.com/akonieyewear/
L.G.R,@lgrworld,https://www.lgrworld.com/en/,https://www.facebook.com/lgrworld,Unknown,Handmade in Italy luxury eyewear,https://www.lgrworld.com/en/;https://www.instagram.com/lgrworld/;https://www.facebook.com/lgrworld
MYKITA,@mykitaofficial,https://mykita.com/en,,Unknown,Handmade designer eyewear from Berlin,https://mykita.com/en;https://www.instagram.com/mykitaofficial/
Eco Eyewear,@ecoeyewear,https://eco-eyewear.com/,,Unknown,Sustainable eyewear brand (carbon negative).,https://eco-eyewear.com/pages/our-story;https://www.instagram.com/ecoeyewear/
Karün,@karun_world,https://usa.karuneyewear.com/,,Unknown,Radically sustainable eyewear brand from Patagonia.,https://usa.karuneyewear.com/;https://www.instagram.com/karun_world/
MITA Eyewear,@mitaeyewear,https://mita-eyewear.com/,https://www.facebook.com/mitaeyewear/,Unknown,Miami-born sustainable eyewear brand with Italian roots.,https://mita-eyewear.com/;https://www.instagram.com/mitaeyewear/;https://www.facebook.com/mitaeyewear/
District Vision,@districtvision,https://districtvision.com/,,Unknown,Performance running eyewear brand.,https://districtvision.com/;https://www.instagram.com/districtvision/
Matsuda,@matsudaeyewear,https://www.matsuda.com/,,Unknown,Hand crafted eyewear made in Japan.,https://www.matsuda.com/;https://www.instagram.com/matsudaeyewear/
Jacques Marie Mage,@jacquesmariemage,https://jacquesmariemage.com/,,Unknown,Limited-edition luxury eyewear handcrafted in Japan/Italy.,https://jacquesmariemage.com/;https://www.instagram.com/jacquesmariemage/
Barton Perreira,@bartonperreira,https://bartonperreira.com/,https://www.facebook.com/BartonPerreiraEyewear/,Unknown,"""Responsible luxury eyewear, handmade in Japan.""",
MOSCOT,@moscotnyc,https://moscot.com/,,Unknown,NYC heritage eyewear brand since 1915.,https://moscot.com/;https://www.instagram.com/moscotnyc/
Oliver Peoples,@oliverpeoples,https://www.oliverpeoples.com/en-us,https://www.facebook.com/oliverpeoples/,Unknown,Los Angeles luxury eyewear brand.,https://www.oliverpeoples.com/en-us;https://www.instagram.com/oliverpeoples/;https://www.facebook.com/oliverpeoples/
Gentle Monster,@gentlemonster,https://gentlemonster.com/,,Unknown,South Korean luxury eyewear brand.,https://gentlemonster.com/;https://www.instagram.com/gentlemonster/
DITA,@ditaeyewear,https://dita.com/,,Unknown,Luxury eyewear brand known for craftsmanship.,https://dita.com/;https://www.instagram.com/ditaeyewear/
Neven Eyewear,@neveneyewearofficial,https://neveneyewear.com/,,Unknown,Polarized sunglasses + prescription eyewear,https://neveneyewear.com/;https://www.instagram.com/neveneyewearofficial/
CHIMI,@chimi,https://chimi-online.com/us,,Unknown,Stockholm-based eyewear & ready-to-wear brand.,https://chimi-online.com/us;https://www.instagram.com/chimi/
SALT. Optics,@saltoptics,https://saltoptics.com/,,Unknown,Independent premium eyewear brand; handcrafted in Japan.,https://saltoptics.com/;https://www.instagram.com/saltoptics/
